"Time","C2H013"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/07/1954,""
00:00:00 01/08/1954,""
00:00:00 01/09/1954,""
00:00:00 01/10/1954,""
00:00:00 01/11/1954,""
00:00:00 01/12/1954,""
00:00:00 01/01/1955,""
00:00:00 01/02/1955,""
00:00:00 01/03/1955,""
00:00:00 01/04/1955,""
00:00:00 01/05/1955,""
00:00:00 01/06/1955,""
00:00:00 01/07/1955,""
00:00:00 01/08/1955,""
00:00:00 01/09/1955,""
00:00:00 01/10/1955,""
00:00:00 01/11/1955,""
00:00:00 01/12/1955,""
00:00:00 01/01/1956,""
00:00:00 01/02/1956,""
00:00:00 01/03/1956,""
00:00:00 01/04/1956,""
00:00:00 01/05/1956,""
00:00:00 01/06/1956,       0.127
00:00:00 01/07/1956,       0.135
00:00:00 01/08/1956,       0.129
00:00:00 01/09/1956,       0.131
00:00:00 01/10/1956,       0.131
00:00:00 01/11/1956,       0.127
00:00:00 01/12/1956,       0.127
00:00:00 01/01/1957,       0.129
00:00:00 01/02/1957,       0.131
00:00:00 01/03/1957,       0.137
00:00:00 01/04/1957,       0.138
00:00:00 01/05/1957,       0.142
00:00:00 01/06/1957,       0.149
00:00:00 01/07/1957,       0.149
00:00:00 01/08/1957,       0.150
00:00:00 01/09/1957,       0.156
00:00:00 01/10/1957,       0.164
00:00:00 01/11/1957,       0.177
00:00:00 01/12/1957,       0.180
00:00:00 01/01/1958,       0.181
00:00:00 01/02/1958,       0.178
00:00:00 01/03/1958,       0.175
00:00:00 01/04/1958,       0.176
00:00:00 01/05/1958,       0.180
00:00:00 01/06/1958,       0.180
00:00:00 01/07/1958,       0.178
00:00:00 01/08/1958,       0.180
00:00:00 01/09/1958,       0.189
00:00:00 01/10/1958,       0.193
00:00:00 01/11/1958,       0.194
00:00:00 01/12/1958,       0.193
00:00:00 01/01/1959,       0.189
00:00:00 01/02/1959,       0.189
00:00:00 01/03/1959,       0.189
00:00:00 01/04/1959,       0.189
00:00:00 01/05/1959,       0.191
00:00:00 01/06/1959,       0.201
00:00:00 01/07/1959,       0.208
00:00:00 01/08/1959,       0.212
00:00:00 01/09/1959,       0.215
00:00:00 01/10/1959,       0.215
00:00:00 01/11/1959,       0.215
00:00:00 01/12/1959,       0.215
00:00:00 01/01/1960,       0.215
00:00:00 01/02/1960,       0.220
00:00:00 01/03/1960,       0.220
00:00:00 01/04/1960,       0.220
00:00:00 01/05/1960,       0.220
00:00:00 01/06/1960,       0.220
00:00:00 01/07/1960,       0.220
00:00:00 01/08/1960,       0.220
00:00:00 01/09/1960,""
00:00:00 01/10/1960,""
00:00:00 01/11/1960,""
00:00:00 01/12/1960,""
00:00:00 01/01/1961,       0.191
00:00:00 01/02/1961,       0.203
00:00:00 01/03/1961,       0.197
00:00:00 01/04/1961,       0.201
00:00:00 01/05/1961,       0.198
00:00:00 01/06/1961,       0.191
00:00:00 01/07/1961,       0.192
00:00:00 01/08/1961,""
00:00:00 01/09/1961,""
00:00:00 01/10/1961,""
00:00:00 01/11/1961,""
00:00:00 01/12/1961,""
00:00:00 01/01/1962,       0.252
00:00:00 01/02/1962,       0.238
00:00:00 01/03/1962,       0.234
00:00:00 01/04/1962,       0.230
00:00:00 01/05/1962,       0.228
00:00:00 01/06/1962,       0.226
00:00:00 01/07/1962,       0.231
00:00:00 01/08/1962,       0.232
00:00:00 01/09/1962,       0.240
00:00:00 01/10/1962,       0.242
00:00:00 01/11/1962,       0.245
00:00:00 01/12/1962,       0.282
00:00:00 01/01/1963,       0.299
00:00:00 01/02/1963,       0.298
00:00:00 01/03/1963,       0.318
00:00:00 01/04/1963,       0.295
00:00:00 01/05/1963,       0.302
00:00:00 01/06/1963,       0.265
00:00:00 01/07/1963,       0.272
00:00:00 01/08/1963,       0.274
00:00:00 01/09/1963,       0.274
00:00:00 01/10/1963,       0.274
00:00:00 01/11/1963,       0.272
00:00:00 01/12/1963,       0.278
00:00:00 01/01/1964,       0.278
00:00:00 01/02/1964,       0.274
00:00:00 01/03/1964,       0.268
00:00:00 01/04/1964,       0.263
00:00:00 01/05/1964,       0.263
00:00:00 01/06/1964,       0.263
00:00:00 01/07/1964,       0.263
00:00:00 01/08/1964,""
00:00:00 01/09/1964,""
00:00:00 01/10/1964,""
00:00:00 01/11/1964,""
00:00:00 01/12/1964,       0.270
00:00:00 01/01/1965,       0.274
00:00:00 01/02/1965,       0.272
00:00:00 01/03/1965,       0.263
00:00:00 01/04/1965,       0.255
00:00:00 01/05/1965,       0.255
00:00:00 01/06/1965,       0.253
00:00:00 01/07/1965,       0.258
00:00:00 01/08/1965,       0.261
00:00:00 01/09/1965,       0.257
00:00:00 01/10/1965,       0.253
00:00:00 01/11/1965,       0.255
00:00:00 01/12/1965,       0.252
00:00:00 01/01/1966,       0.253
00:00:00 01/02/1966,""
00:00:00 01/03/1966,""
00:00:00 01/04/1966,       0.274
00:00:00 01/05/1966,       0.290
00:00:00 01/06/1966,       0.273
00:00:00 01/07/1966,       0.287
00:00:00 01/08/1966,       0.287
00:00:00 01/09/1966,       0.283
00:00:00 01/10/1966,       0.281
00:00:00 01/11/1966,       0.322
00:00:00 01/12/1966,       0.339
00:00:00 01/01/1967,       0.351
00:00:00 01/02/1967,       0.378
00:00:00 01/03/1967,       0.387
00:00:00 01/04/1967,       0.385
00:00:00 01/05/1967,       0.387
00:00:00 01/06/1967,""
00:00:00 01/07/1967,""
00:00:00 01/08/1967,""
00:00:00 01/09/1967,""
00:00:00 01/10/1967,""
00:00:00 01/11/1967,""
00:00:00 01/12/1967,""
00:00:00 01/01/1968,""
00:00:00 01/02/1968,""
00:00:00 01/03/1968,""
00:00:00 01/04/1968,""
00:00:00 01/05/1968,""
00:00:00 01/06/1968,""
00:00:00 01/07/1968,""
00:00:00 01/08/1968,""
00:00:00 01/09/1968,""
00:00:00 01/10/1968,""
00:00:00 01/11/1968,""
00:00:00 01/12/1968,""
00:00:00 01/01/1969,""
00:00:00 01/02/1969,""
00:00:00 01/03/1969,""
00:00:00 01/04/1969,""
00:00:00 01/05/1969,""
00:00:00 01/06/1969,""
00:00:00 01/07/1969,""
00:00:00 01/08/1969,""
00:00:00 01/09/1969,""
00:00:00 01/10/1969,""
00:00:00 01/11/1969,""
00:00:00 01/12/1969,""
00:00:00 01/01/1970,""
00:00:00 01/02/1970,""
