"Time,""A2H023"""
and,140.00
"Date,""Discharge (Cumecs)"""
",""Mean"""
00:00:00 01/04/2003,       5.350
00:00:00 01/05/2003,       2.877
00:00:00 01/06/2003,       2.752
00:00:00 01/07/2003,       3.421
00:00:00 01/08/2003,       3.236
00:00:00 01/09/2003,       3.032
00:00:00 01/10/2003,       2.893
00:00:00 01/11/2003,       5.178
00:00:00 01/12/2003,       4.736
00:00:00 01/01/2004,       3.155
00:00:00 01/02/2004,       6.912
00:00:00 01/03/2004,      12.037
00:00:00 01/04/2004,       8.108
00:00:00 01/05/2004,       5.585
00:00:00 01/06/2004,       3.786
00:00:00 01/07/2004,       3.682
00:00:00 01/08/2004,       3.975
00:00:00 01/09/2004,       3.370
00:00:00 01/10/2004,       2.842
00:00:00 01/11/2004,       3.457
00:00:00 01/12/2004,       3.532
00:00:00 01/01/2005,       7.818
00:00:00 01/02/2005,      13.389
00:00:00 01/03/2005,       6.323
00:00:00 01/04/2005,       6.229
00:00:00 01/05/2005,       8.004
00:00:00 01/06/2005,       3.590
00:00:00 01/07/2005,       3.424
00:00:00 01/08/2005,       3.461
00:00:00 01/09/2005,       3.334
00:00:00 01/10/2005,       2.937
00:00:00 01/11/2005,       3.905
00:00:00 01/12/2005,       6.347
00:00:00 01/01/2006,       5.875
00:00:00 01/02/2006,      14.535
00:00:00 01/03/2006,      17.794
00:00:00 01/04/2006,      11.095
00:00:00 01/05/2006,       5.286
00:00:00 01/06/2006,       4.364
00:00:00 01/07/2006,       4.252
00:00:00 01/08/2006,       4.069
00:00:00 01/09/2006,       4.897
00:00:00 01/10/2006,       3.637
00:00:00 01/11/2006,       5.224
00:00:00 01/12/2006,       8.707
00:00:00 01/01/2007,      10.377
00:00:00 01/02/2007,       8.634
00:00:00 01/03/2007,       4.621
00:00:00 01/04/2007,       4.535
00:00:00 01/05/2007,       5.011
00:00:00 01/06/2007,       3.864
00:00:00 01/07/2007,       5.864
00:00:00 01/08/2007,       4.189
00:00:00 01/09/2007,       3.883
00:00:00 01/10/2007,       4.726
00:00:00 01/11/2007,       9.330
00:00:00 01/12/2007,       6.950
00:00:00 01/01/2008,       9.453
00:00:00 01/02/2008,      15.579
00:00:00 01/03/2008,      11.771
00:00:00 01/04/2008,      13.144
