"Time","A2H062"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/10/2013,       0.025
00:00:00 01/11/2013,       0.065
00:00:00 01/12/2013,       0.074
00:00:00 01/01/2014,       0.092
00:00:00 01/02/2014,       0.058
00:00:00 01/03/2014,       0.121
00:00:00 01/04/2014,       0.297
00:00:00 01/05/2014,       0.046
00:00:00 01/06/2014,       0.033
00:00:00 01/07/2014,       0.027
00:00:00 01/08/2014,       0.027
00:00:00 01/09/2014,       0.041
00:00:00 01/10/2014,       0.026
00:00:00 01/11/2014,       0.039
00:00:00 01/12/2014,       0.069
00:00:00 01/01/2015,""
00:00:00 01/02/2015,""
00:00:00 01/03/2015,       0.042
00:00:00 01/04/2015,""
00:00:00 01/05/2015,""
00:00:00 01/06/2015,""
00:00:00 01/07/2015,""
00:00:00 01/08/2015,""
00:00:00 01/09/2015,""
00:00:00 01/10/2015,""
00:00:00 01/11/2015,""
00:00:00 01/12/2015,""
00:00:00 01/01/2016,""
00:00:00 01/02/2016,""
00:00:00 01/03/2016,       0.066
00:00:00 01/04/2016,       0.141
00:00:00 01/05/2016,       0.032
00:00:00 01/06/2016,       0.051
00:00:00 01/07/2016,       0.033
00:00:00 01/08/2016,       0.033
00:00:00 01/09/2016,       0.032
00:00:00 01/10/2016,       0.032
00:00:00 01/11/2016,       0.047
00:00:00 01/12/2016,       0.076
00:00:00 01/01/2017,       0.069
00:00:00 01/02/2017,       0.169
00:00:00 01/03/2017,       0.180
00:00:00 01/04/2017,       0.054
00:00:00 01/05/2017,       0.073
00:00:00 01/06/2017,       0.047
00:00:00 01/07/2017,       0.036
00:00:00 01/08/2017,       0.035
00:00:00 01/09/2017,       0.033
00:00:00 01/10/2017,       0.035
00:00:00 01/11/2017,       0.082
00:00:00 01/12/2017,       0.059
00:00:00 01/01/2018,       0.100
00:00:00 01/02/2018,       0.067
00:00:00 01/03/2018,       0.068
00:00:00 01/04/2018,       0.227
00:00:00 01/05/2018,       0.085
00:00:00 01/06/2018,""
