A2H012,,
,,
,,
Date,Time,Discharge in cumecs
1/6/1973,12:00:00,1.885
1/7/1973,12:00:00,1.764
1/8/1973,12:00:00,1.781
1/9/1973,12:00:00,1.788
1/10/1973,12:00:00,2.264
1/11/1973,12:00:00,3.581
1/12/1973,12:00:00,4.148
1/1/1974,12:00:00,5.076
1/2/1974,12:00:00,4.426
1/3/1974,12:00:00,5.666
1/4/1974,12:00:00,5.06
1/5/1974,12:00:00,8.949
1/6/1974,12:00:00,3.376
1/7/1974,12:00:00,2.654
1/8/1974,12:00:00,2.459
1/9/1974,12:00:00,2.07
1/10/1974,12:00:00,2.031
1/11/1974,12:00:00,2.366
1/12/1974,12:00:00,7.733
1/1/1975,12:00:00,6.791
1/2/1975,12:00:00,29.776
1/3/1975,12:00:00,19.421
1/4/1975,12:00:00,8.243
1/5/1975,12:00:00,15.404
1/6/1975,12:00:00,6.786
1/7/1975,12:00:00,4.955
1/8/1975,12:00:00,4.515
1/9/1975,12:00:00,3.553
1/10/1975,12:00:00,2.632
1/11/1975,12:00:00,2.144
1/12/1975,12:00:00,5.447
1/1/1976,12:00:00,9.026
1/2/1976,12:00:00,12.933
1/3/1976,12:00:00,14.546
1/4/1976,12:00:00,21.485
1/5/1976,12:00:00,13.132
1/6/1976,12:00:00,20.68
1/7/1976,12:00:00,8.084
1/8/1976,12:00:00,6.639
1/9/1976,12:00:00,5.084
1/10/1976,12:00:00,4.526
1/11/1976,12:00:00,14.471
1/12/1976,12:00:00,6.77
1/1/1977,12:00:00,5.968
1/2/1977,12:00:00,7.325
1/3/1977,12:00:00,16.973
1/4/1977,12:00:00,16.889
1/5/1977,12:00:00,9.807
1/6/1977,12:00:00,5.849
1/7/1977,12:00:00,5.032
1/8/1977,12:00:00,4.573
1/9/1977,12:00:00,4.854
1/10/1977,12:00:00,5.925
1/11/1977,12:00:00,5.247
1/12/1977,12:00:00,6.397
1/1/1978,12:00:00,5.162
1/2/1978,12:00:00,41.889
1/3/1978,12:00:00,37.475
1/4/1978,12:00:00,18.576
1/5/1978,12:00:00,12.315
1/6/1978,12:00:00,8.606
1/7/1978,12:00:00,7.341
1/8/1978,12:00:00,7.521
1/9/1978,12:00:00,6.376
1/10/1978,12:00:00,7.017
1/11/1978,12:00:00,5.363
1/12/1978,12:00:00,4.734
1/1/1979,12:00:00,4.258
1/2/1979,12:00:00,5.028
1/3/1979,12:00:00,5.135
1/4/1979,12:00:00,4.013
1/5/1979,12:00:00,3.382
1/6/1979,12:00:00,3.064
1/7/1979,12:00:00,3.024
1/8/1979,12:00:00,3.416
1/9/1979,12:00:00,4.82
1/10/1979,12:00:00,4.149
1/11/1979,12:00:00,4.739
1/12/1979,12:00:00,11.375
1/1/1980,12:00:00,6.801
1/2/1980,12:00:00,12.733
1/3/1980,12:00:00,14.176
1/4/1980,12:00:00,7.805
1/5/1980,12:00:00,4.51
1/6/1980,12:00:00,3.36
1/7/1980,12:00:00,3.552
1/8/1980,12:00:00,3.424
1/9/1980,12:00:00,3.085
1/10/1980,12:00:00,3.826
1/11/1980,12:00:00,3.426
1/12/1980,12:00:00,5.389
1/1/1981,12:00:00,7.449
1/2/1981,12:00:00,6.773
1/3/1981,12:00:00,9.286
1/4/1981,12:00:00,11.944
1/5/1981,12:00:00,4.513
1/6/1981,12:00:00,3.806
1/7/1981,12:00:00,3.901
1/8/1981,12:00:00,3.718
1/9/1981,12:00:00,3.638
1/10/1981,12:00:00,4.152
1/11/1981,12:00:00,5.98
1/12/1981,12:00:00,3.557
1/1/1982,12:00:00,5.521
1/2/1982,12:00:00,9.688
1/3/1982,12:00:00,5.698
1/4/1982,12:00:00,4.206
1/5/1982,12:00:00,3.393
1/6/1982,12:00:00,3.023
1/7/1982,12:00:00,3.343
1/8/1982,12:00:00,3.879
1/9/1982,12:00:00,3.212
1/10/1982,12:00:00,2.737
1/11/1982,12:00:00,3.5
1/12/1982,12:00:00,3.255
1/1/1983,12:00:00,4.659
1/2/1983,12:00:00,5.188
1/3/1983,12:00:00,3.58
1/4/1983,12:00:00,2.857
1/5/1983,12:00:00,2.329
1/6/1983,12:00:00,2.155
1/7/1983,12:00:00,3.384
1/8/1983,12:00:00,2.49
1/9/1983,12:00:00,2.459
1/10/1983,12:00:00,1.996
1/11/1983,12:00:00,3.714
1/12/1983,12:00:00,6.926
1/1/1984,12:00:00,9.124
1/2/1984,12:00:00,6.409
1/3/1984,12:00:00,2.194
1/4/1984,12:00:00,3.716
1/5/1984,12:00:00,2.615
1/6/1984,12:00:00,2.103
1/7/1984,12:00:00,2.483
1/8/1984,12:00:00,2.73
1/9/1984,12:00:00,2.094
1/10/1984,12:00:00,1.883
1/11/1984,12:00:00,4.425
1/12/1984,12:00:00,3.768
1/1/1985,12:00:00,4.711
1/2/1985,12:00:00,10.082
1/3/1985,12:00:00,3.388
1/4/1985,12:00:00,4.243
1/5/1985,12:00:00,1.946
1/6/1985,12:00:00,2.084
1/7/1985,12:00:00,2.094
1/8/1985,12:00:00,2.323
1/9/1985,12:00:00,1.969
1/10/1985,12:00:00,2.461
1/11/1985,12:00:00,4.031
1/12/1985,12:00:00,12.879
1/1/1986,12:00:00,5.583
1/2/1986,12:00:00,4.673
1/3/1986,12:00:00,4.276
1/4/1986,12:00:00,3.222
1/5/1986,12:00:00,3.164
1/6/1986,12:00:00,2.131
1/7/1986,12:00:00,3.135
1/8/1986,12:00:00,2.25
1/9/1986,12:00:00,2.101
