,A2H008,
,,
,,
Date,Time,Discharge in cumecs 
1/12/1951,12:00:00,0.036
1/1/1952,12:00:00,0.038
1/2/1952,12:00:00,0.038
1/3/1952,12:00:00,0.036
1/4/1952,12:00:00,0.034
1/5/1952,12:00:00,0.034
1/6/1952,12:00:00,0.036
1/7/1952,12:00:00,0.036
1/8/1952,12:00:00,0.036
1/9/1952,12:00:00,0.036
1/10/1952,12:00:00,0.036
1/11/1952,12:00:00,0.036
1/12/1952,12:00:00,0.036
1/1/1953,12:00:00,0.034
1/2/1953,12:00:00,0.034
1/3/1953,12:00:00,0.034
1/4/1953,12:00:00,0.033
1/5/1953,12:00:00,0.032
1/6/1953,12:00:00,0.031
1/7/1953,12:00:00,0.032
1/8/1953,12:00:00,0.033
1/9/1953,12:00:00,0.033
1/10/1953,12:00:00,0.034
1/11/1953,12:00:00,0.033
1/12/1953,12:00:00,0.033
1/1/1954,12:00:00,0.032
1/2/1954,12:00:00,0.031
1/3/1954,12:00:00,0.031
1/4/1954,12:00:00,0.031
1/5/1954,12:00:00,0.033
1/6/1954,12:00:00,0.034
1/7/1954,12:00:00,0.034
1/8/1954,12:00:00,0.034
1/9/1954,12:00:00,0.034
1/10/1954,12:00:00,0.036
1/11/1954,12:00:00,0.038
1/12/1954,12:00:00,0.038
1/1/1955,12:00:00,0.038
1/2/1955,12:00:00,0.038
1/3/1955,12:00:00,0.038
1/4/1955,12:00:00,0.035
1/5/1955,12:00:00,0.037
1/6/1955,12:00:00,0.041
1/7/1955,12:00:00,0.039
1/8/1955,12:00:00,0.04
1/9/1955,12:00:00,
1/10/1955,12:00:00,
1/11/1955,12:00:00,
1/12/1955,12:00:00,0.051
1/1/1956,12:00:00,
1/2/1956,12:00:00,
1/3/1956,12:00:00,
1/4/1956,12:00:00,0.047
1/5/1956,12:00:00,0.048
1/6/1956,12:00:00,0.045
1/7/1956,12:00:00,0.045
1/8/1956,12:00:00,0.045
1/9/1956,12:00:00,0.045
1/10/1956,12:00:00,0.045
1/11/1956,12:00:00,0.045
1/12/1956,12:00:00,0.045
1/1/1957,12:00:00,0.045
1/2/1957,12:00:00,0.045
1/3/1957,12:00:00,0.045
1/4/1957,12:00:00,0.045
1/5/1957,12:00:00,
1/6/1957,12:00:00,
1/7/1957,12:00:00,
1/8/1957,12:00:00,
1/9/1957,12:00:00,
1/10/1957,12:00:00,0.045
1/11/1957,12:00:00,0.045
1/12/1957,12:00:00,0.045
1/1/1958,12:00:00,0.045
1/2/1958,12:00:00,0.045
1/3/1958,12:00:00,0.045
1/4/1958,12:00:00,0.045
1/5/1958,12:00:00,0.041
1/6/1958,12:00:00,0.041
1/7/1958,12:00:00,0.041
1/8/1958,12:00:00,0.041
1/9/1958,12:00:00,0.041
1/10/1958,12:00:00,0.041
1/11/1958,12:00:00,0.041
1/12/1958,12:00:00,
1/1/1959,12:00:00,
1/2/1959,12:00:00,
1/3/1959,12:00:00,0.04
1/4/1959,12:00:00,0.04
1/5/1959,12:00:00,0.041
1/6/1959,12:00:00,0.043
1/7/1959,12:00:00,0.043
1/8/1959,12:00:00,0.043
1/9/1959,12:00:00,
1/10/1959,12:00:00,
1/11/1959,12:00:00,
1/12/1959,12:00:00,0.043
1/1/1960,12:00:00,0.042
1/2/1960,12:00:00,0.045
1/3/1960,12:00:00,0.043
1/4/1960,12:00:00,0.043
1/5/1960,12:00:00,0.043
1/6/1960,12:00:00,0.043
1/7/1960,12:00:00,0.04
1/8/1960,12:00:00,0.04
1/9/1960,12:00:00,0.04
1/10/1960,12:00:00,0.04
1/11/1960,12:00:00,0.041
1/12/1960,12:00:00,0.041
1/1/1961,12:00:00,0.042
1/2/1961,12:00:00,0.041
1/3/1961,12:00:00,0.035
1/4/1961,12:00:00,0.034
1/5/1961,12:00:00,0.034
1/6/1961,12:00:00,0.034
1/7/1961,12:00:00,0.034
1/8/1961,12:00:00,0.035
1/9/1961,12:00:00,0.036
1/10/1961,12:00:00,0.036
1/11/1961,12:00:00,0.036
1/12/1961,12:00:00,0.035
1/1/1962,12:00:00,0.034
1/2/1962,12:00:00,0.034
1/3/1962,12:00:00,0.036
1/4/1962,12:00:00,0.035
1/5/1962,12:00:00,0.034
1/6/1962,12:00:00,0.034
1/7/1962,12:00:00,0.036
1/8/1962,12:00:00,0.035
1/9/1962,12:00:00,0.033
1/10/1962,12:00:00,0.031
1/11/1962,12:00:00,0.033
1/12/1962,12:00:00,0.033
1/1/1963,12:00:00,0.031
1/2/1963,12:00:00,0.031
1/3/1963,12:00:00,0.03
1/4/1963,12:00:00,0.03
1/5/1963,12:00:00,0.03
1/6/1963,12:00:00,0.03
1/7/1963,12:00:00,0.03
1/8/1963,12:00:00,0.03
1/9/1963,12:00:00,0.03
1/10/1963,12:00:00,0.03
1/11/1963,12:00:00,0.03
1/12/1963,12:00:00,0.029
1/1/1964,12:00:00,0.028
1/2/1964,12:00:00,0.027
1/3/1964,12:00:00,0.026
1/4/1964,12:00:00,0.025
1/5/1964,12:00:00,0.025
1/6/1964,12:00:00,0.025
1/7/1964,12:00:00,0.025
1/8/1964,12:00:00,0.025
1/9/1964,12:00:00,0.027
1/10/1964,12:00:00,0.027
1/11/1964,12:00:00,0.027
1/12/1964,12:00:00,0.028
1/1/1965,12:00:00,0.03
1/2/1965,12:00:00,0.03
1/3/1965,12:00:00,0.027
1/4/1965,12:00:00,0.024
1/5/1965,12:00:00,0.024
1/6/1965,12:00:00,0.024
1/7/1965,12:00:00,0.024
1/8/1965,12:00:00,0.024
1/9/1965,12:00:00,0.024
1/10/1965,12:00:00,0.025
1/11/1965,12:00:00,0.025
1/12/1965,12:00:00,0.025
1/1/1966,12:00:00,0.025
1/2/1966,12:00:00,0.025
1/3/1966,12:00:00,0.028
1/4/1966,12:00:00,0.028
1/5/1966,12:00:00,0.028
1/6/1966,12:00:00,0.028
1/7/1966,12:00:00,0.028
1/8/1966,12:00:00,0.028
1/9/1966,12:00:00,0.026
1/10/1966,12:00:00,0.025
1/11/1966,12:00:00,0.025
1/12/1966,12:00:00,
1/1/1967,12:00:00,
1/2/1967,12:00:00,
1/3/1967,12:00:00,0.025
1/4/1967,12:00:00,0.028
1/5/1967,12:00:00,0.03
1/6/1967,12:00:00,0.03
1/7/1967,12:00:00,0.03
1/8/1967,12:00:00,0.031
1/9/1967,12:00:00,0.031
1/10/1967,12:00:00,0.031
1/11/1967,12:00:00,0.031
1/12/1967,12:00:00,0.031
1/1/1968,12:00:00,0.031
1/2/1968,12:00:00,0.031
1/3/1968,12:00:00,0.031
1/4/1968,12:00:00,0.031
1/5/1968,12:00:00,0.031
1/6/1968,12:00:00,0.031
1/7/1968,12:00:00,0.031
1/8/1968,12:00:00,0.031
1/9/1968,12:00:00,0.035
1/10/1968,12:00:00,0.041
1/11/1968,12:00:00,0.042
1/12/1968,12:00:00,0.041
1/1/1969,12:00:00,0.041
1/2/1969,12:00:00,0.041
1/3/1969,12:00:00,0.041
1/4/1969,12:00:00,0.041
1/5/1969,12:00:00,0.042
1/6/1969,12:00:00,0.041
1/7/1969,12:00:00,0.037
1/8/1969,12:00:00,0.036
1/9/1969,12:00:00,0.037
1/10/1969,12:00:00,0.036
1/11/1969,12:00:00,0.036
1/12/1969,12:00:00,0.036
1/1/1970,12:00:00,0.036
1/2/1970,12:00:00,0.037
1/3/1970,12:00:00,0.036
1/4/1970,12:00:00,0.036
1/5/1970,12:00:00,0.036
1/6/1970,12:00:00,0.037
1/7/1970,12:00:00,0.037
1/8/1970,12:00:00,0.036
1/9/1970,12:00:00,0.038
1/10/1970,12:00:00,0.038
1/11/1970,12:00:00,0.038
1/12/1970,12:00:00,0.038
1/1/1971,12:00:00,0.038
1/2/1971,12:00:00,0.038
1/3/1971,12:00:00,0.038
1/4/1971,12:00:00,0.038
1/5/1971,12:00:00,0.038
1/6/1971,12:00:00,0.038
1/7/1971,12:00:00,0.038
1/8/1971,12:00:00,0.038
1/9/1971,12:00:00,0.038
1/10/1971,12:00:00,0.038
1/11/1971,12:00:00,0.038
1/12/1971,12:00:00,0.038
1/1/1972,12:00:00,0.038
1/2/1972,12:00:00,0.038
1/3/1972,12:00:00,0.038
1/4/1972,12:00:00,0.038
1/5/1972,12:00:00,0.038
1/6/1972,12:00:00,0.038
1/7/1972,12:00:00,0.038
1/8/1972,12:00:00,
1/9/1972,12:00:00,
1/10/1972,12:00:00,
1/11/1972,12:00:00,0.038
1/12/1972,12:00:00,0.038
1/1/1973,12:00:00,0.038
1/2/1973,12:00:00,0.038
1/3/1973,12:00:00,0.038
1/4/1973,12:00:00,0.038
1/5/1973,12:00:00,0.038
1/6/1973,12:00:00,0.038
1/7/1973,12:00:00,0.038
1/8/1973,12:00:00,0.038
1/9/1973,12:00:00,0.038
1/10/1973,12:00:00,0.038
1/11/1973,12:00:00,0.038
1/12/1973,12:00:00,0.038
1/1/1974,12:00:00,0.038
1/2/1974,12:00:00,0.039
1/3/1974,12:00:00,0.038
1/4/1974,12:00:00,0.038
1/5/1974,12:00:00,0.038
1/6/1974,12:00:00,0.038
1/7/1974,12:00:00,0.038
1/8/1974,12:00:00,0.038
1/9/1974,12:00:00,0.038
1/10/1974,12:00:00,0.038
1/11/1974,12:00:00,0.038
1/12/1974,12:00:00,0.038
1/1/1975,12:00:00,0.038
1/2/1975,12:00:00,0.038
1/3/1975,12:00:00,0.041
1/4/1975,12:00:00,0.041
1/5/1975,12:00:00,0.041
1/6/1975,12:00:00,0.044
1/7/1975,12:00:00,0.046
1/8/1975,12:00:00,0.047
1/9/1975,12:00:00,0.048
