,A2H014,
,,
,,
Time,Date,Discharge in cumecs
1/12/1955,12:00:00,0.702
1/1/1956,12:00:00,1.623
1/2/1956,12:00:00,1.696
1/3/1956,12:00:00,0.823
1/4/1956,12:00:00,0.721
1/5/1956,12:00:00,0.29
1/6/1956,12:00:00,0.502
1/7/1956,12:00:00,0.321
1/8/1956,12:00:00,0.257
1/9/1956,12:00:00,0.211
1/10/1956,12:00:00,0.214
1/11/1956,12:00:00,0.499
1/12/1956,12:00:00,0.696
1/1/1957,12:00:00,0.74
1/2/1957,12:00:00,0.504
1/3/1957,12:00:00,0.624
1/4/1957,12:00:00,0.598
1/5/1957,12:00:00,0.198
1/6/1957,12:00:00,0.182
1/7/1957,12:00:00,0.3
1/8/1957,12:00:00,0.914
1/9/1957,12:00:00,0.442
1/10/1957,12:00:00,1.486
1/11/1957,12:00:00,0.942
1/12/1957,12:00:00,0.188
1/1/1958,12:00:00,0.17
1/2/1958,12:00:00,0.466
1/3/1958,12:00:00,0.6
1/4/1958,12:00:00,0.244
1/5/1958,12:00:00,0.382
1/6/1958,12:00:00,0.195
1/7/1958,12:00:00,0.194
1/8/1958,12:00:00,0.183
1/9/1958,12:00:00,0.161
1/10/1958,12:00:00,0.169
1/11/1958,12:00:00,0.12
1/12/1958,12:00:00,0.253
1/1/1959,12:00:00,0.686
1/2/1959,12:00:00,0.431
1/3/1959,12:00:00,0.318
1/4/1959,12:00:00,0.275
1/5/1959,12:00:00,0.146
1/6/1959,12:00:00,0.187
1/7/1959,12:00:00,0.177
1/8/1959,12:00:00,0.18
1/9/1959,12:00:00,0.143
1/10/1959,12:00:00,0.124
1/11/1959,12:00:00,0.251
1/12/1959,12:00:00,0.369
1/1/1960,12:00:00,0.562
1/2/1960,12:00:00,0.325
1/3/1960,12:00:00,0.119
1/4/1960,12:00:00,0.132
1/5/1960,12:00:00,0.139
1/6/1960,12:00:00,0.113
1/7/1960,12:00:00,0.126
1/8/1960,12:00:00,0.126
1/9/1960,12:00:00,0.112
1/10/1960,12:00:00,0.09
1/11/1960,12:00:00,0.287
1/12/1960,12:00:00,0.649
1/1/1961,12:00:00,0.896
1/2/1961,12:00:00,0.569
1/3/1961,12:00:00,0.242
1/4/1961,12:00:00,0.655
1/5/1961,12:00:00,0.257
1/6/1961,12:00:00,0.157
1/7/1961,12:00:00,0.19
1/8/1961,12:00:00,0.133
1/9/1961,12:00:00,0.123
