Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
A6H011,Great-Nyl River @ Modderpoort,73,-24.76184,28.34443,1966-11-24 to 2019-05-28
A6H012,Olifant Spruit @ Olifantspoort,120,-24.66548,28.4761,1966-11-12 to 2019-04-02
A6H013,Groundwater Supplement from Nyl Riv. @ Du Toitskra,,-24.56731,28.7636,1971-02-05 to 1977-11-28
A6H015,Groundwater Supplement from Nyl Riv. @ De Hoop,,-24.44038,28.90305,1971-01-07 to 1974-03-22
A6H018,Rasloop River @ Sussensvale,12,-24.77086,28.3488,1973-07-27 to 2019-07-10
A6H019,Hessie se Water @ Rietspruit,16,-24.65973,28.45079,1973-07-12 to 2019-02-13
A6H020,Middelfontein Spruit @ Middelfontein,43,-24.67111,28.56061,1973-08-10 to 2019-04-01
A6H021,De Wet Spruit @ Groenvaley,16,-24.63301,28.59731,1973-06-26 to 2019-07-10
A6H022,Hartebeestlaagte Spruit @ Hartebeestlaagte,1.7,-24.60203,28.60749,1973-06-26 to 1997-10-01
A6H023,Tobias Spruit @ Saratoga,130,-24.45783,28.74927,1973-09-28 to 2019-02-20
A6H024,Kootjie se Loop Spruit @ Waterval,23,-24.31658,28.91629,1973-08-24 to 2019-04-10
A6H026,Haaskloof Spruit @ Haaskloof,41,-24.37705,28.53026,1988-11-24 to 1994-08-23
A6H033,Nyl River @ Moorddrift,2404,-24.24105,28.97657,1990-11-30 to 2019-04-02
A6H035,Mogalakwena River @ Leniesrus,15845,-22.55021,28.8974,1995-02-02 to 2019-08-21
A6H036,Sterk River @ Appingen Dam,1363,-23.98141,28.69562,1995-11-28 to 2019-07-11
A6H037,Nyl River @ Vogelfontein,1363,-24.61525,28.6903,1997-12-09 to 2019-05-28
A6H038,Nyl River @ Du Toits Kraal,,-24.56631,28.76352,1997-12-02 to 2019-07-10
A6H039,Nyl River @ Middelfontein,,-24.69851,28.54809,1998-02-25 to 2019-06-11
A7H001,Sand River @ Waterpoort,7703,-22.9091,29.61391,1957-07-12 to 2000-01-27
A7H002,Brak River @ Kaalplaats,1868,-22.95076,29.24723,1937-07-26 to 1947-02-28
A7H003,Sand River @ Zamenkomst,6700,-23.06742,29.57891,1947-10-01 to 1995-11-08
A7H004,Limpopo River @ Beit Bridge,202975,-22.2247,29.98698,1955-06-27 to 1992-07-15
A7H006,Sand River @ Zamenkomst,6700,-23.06742,29.57891,1947-11-25 to 1958-12-13
A7H007,Sand River @ Pietersburg,522,-23.88294,29.43149,1991-11-14 to 2019-04-02
A7H008,Limpopo River @ Beit Bridge,202985,-22.22718,29.99035,1992-07-28 to 2019-05-08
A7H009,Sand River @ Dorothy,12873,-22.49135,29.98309,1993-12-06 to 2000-02-26
A7H010,Sand River @ Waterpoort,7712,-22.91019,29.61103,2002-06-12 to 2019-05-22
A8H001,Nzhelele River @ Kondoa,543,-22.79299,30.07031,1932-10-03 to 1946-12-29
A8H002,Mutamba River @ Bekaf,490,-22.80633,29.88892,1937-07-01 to 1947-03-01
A8H003,Mutamba River @ Prince's Hill,132,-22.86743,29.79975,1938-04-25 to 1942-12-31
A8H004,Nzhelele River @ Schuitdrift,855,-22.68411,30.09559,1938-04-25 to 1947-02-28
A8H005,Mutamba River @ King's Kloof,128,-22.88688,29.79669,1960-11-03 to 1976-09-30
A9H001,Luvuvhu River @ Weltevreden,902,-23.11242,30.38949,1912-12-12 to 2006-04-27
A9H002,Mutshindudi River @ Chibase,96,-22.90799,30.5281,1931-09-20 to 2000-02-23
A9H003,Tshinane River @ Chibase,62,-22.89814,30.52378,1931-09-02 to 2019-05-16
