#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
C2N1008,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1993/11/30,GW
C2N1009,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1987/01/31,GW
C2N1010,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1984/11/30,GW
C2N1011,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1978/06/30,GW
C2N1012,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1985/02/28,GW
C2N1013,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1984/07/31,GW
C2N1014,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1981/10/30,GW
C2N1015,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/06/30,1984/01/31,GW
C2N1016,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1983/04/30,GW
C2N1017,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1985/08/31,GW
C2N1018,Zuurbekom,WESRAND,-26.31769,27.78745,T,1990/01/31,,GW
C2N1019,Zuurbekom,WESRAND,-26.32179,27.78973,T,1992/12/17,,GW
C2N1020,Geyerspan,VENTERSDORP,-25.95889,26.55066,T,1990/08/29,,GW
C2N1021,Rosmincol,VENTERSDORP,-25.8771,26.53426,T,1990/08/31,,GW
C2N1022,Grootpan,VENTERSDORP,-26.00296,26.49398,F,1990/08/24,2010/06/02,GW
C2N1023,Grootvlei,VENTERSDORP,-26.16594,26.57324,T,1989/12/12,,GW
C2N1024,Boschhoek,VENTERSDORP,-26.06785,26.6332,T,1989/12/13,,GW
C2N1025,Klippan,VENTERSDORP,-26.09508,26.95291,T,1990/01/24,,GW
C2N1026,Klippan,VENTERSDORP,-26.08181,26.92157,T,1990/01/25,,GW
C2N1027,Bruidegomskraal,VENTERSDORP,-26.19712,26.90382,F,1990/01/23,2015/07/01,GW
C2N1028,Appeldraai,VENTERSDORP,-26.24267,26.86293,T,1990/01/18,,GW
C2N1029,Welgevonden,VENTERSDORP,-26.15593,26.80614,T,1990/01/17,,GW
C2N1030,Doornkop,VENTERSDORP,-26.19109,26.75974,T,1989/12/15,,GW
C2N1031,Hartbeeslaagte,VENTERSDORP,-26.08916667,26.78527778,F,1990/01/16,2010/06/02,GW
